# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Feb 26 15:22:15 IST 2020
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (58,57.9,104) frames.
Overall, sivappeu accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (75,74.9,85) frames.
Overall, solreen accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (101,112.4,188) frames.
Overall, tanni accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (83,92.7,158) frames.
Overall, tanniuuttanum accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (108,106.9,120) frames.
Overall, tottila accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (149,145.9,242) frames.
Overall, tottilawaikkanum accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (93,92.9,102) frames.
Overall, uram accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (89,91.9,117) frames.
Overall, vandilla accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (75,74.4,90) frames.
Overall, vellai accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (75,72.9,97) frames.
Overall, waikkaata accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (88,89.1,97) frames.
Overall, waikkateengga accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (106,103.3,128) frames.
Overall, weyilla accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (105,103.7,116) frames.
Overall, widai accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (54,54.6,63) frames.
Overall, aanpannanum accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (107,105.2,125) frames.
Overall, chedi accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (58,60.6,89) frames.
Overall, enna accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (72,71.7,90) frames.
Overall, veenum accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (109,107.1,131) frames.
The optional-silence phone SIL occupies 35.0% of frames overall 
Limiting the stats to the 65.0% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 0.0% of frames.
Assuming 100 frames per second, the alignments represent 7.0 hours of data, or 4.6 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 0.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (0,0.0,0)
# Accounting: time=1 threads=1
# Ended (code 0) at Wed Feb 26 15:22:16 IST 2020, elapsed time 1 seconds
